Open time,Open,High,Low,Close,Volume,Quote volume,Trade count,Taker base volume,Taker quote volume
2021-12-31 00:00:00+00:00,47120.88,47500.0,46983.8,47036.79,581.49081,27477100.2680001,21748,286.92029,13561991.338949
2021-12-31 00:30:00+00:00,47036.78,47195.52,46826.21,47073.98,502.62345,23618237.3124426,17586,200.61251,9428635.0029765
2021-12-31 01:00:00+00:00,47073.99,47281.69,46842.28,47177.93,419.86518,19751679.4226738,17850,198.39252,9331746.5827745
2021-12-31 01:30:00+00:00,47180.37,47349.1,47009.76,47121.94,342.20685,16140835.2180759,14940,172.46931,8134887.2219789
2021-12-31 02:00:00+00:00,47121.95,47127.53,46843.72,46889.95,421.19964,19785017.9193519,14190,222.73703,10461051.5918274
2021-12-31 02:30:00+00:00,46889.95,47026.97,46825.38,46994.85,377.4638,17704093.8350044,12683,232.08557,10884604.3392311
2021-12-31 03:00:00+00:00,46994.85,47172.72,46906.7,47150.49,343.46662,16151554.0040792,14214,179.66156,8449128.1641756
2021-12-31 03:30:00+00:00,47150.48,47281.68,47082.79,47201.85,289.85344,13678310.901204,13557,161.93757,7641933.4491616
2021-12-31 04:00:00+00:00,47201.84,47474.0,47141.8,47408.52,424.80747,20093698.5035753,16215,251.49036,11896679.0519963
2021-12-31 04:30:00+00:00,47408.51,47418.75,47301.0,47344.83,350.49034,16600056.7610995,12187,161.09022,7629216.7485111
2021-12-31 05:00:00+00:00,47344.82,47400.36,47243.37,47263.47,352.84426,16705014.2731747,12075,175.23633,8296333.8416337
2021-12-31 05:30:00+00:00,47263.47,47349.16,47200.0,47280.01,240.11831,11354493.1046208,10967,130.24833,6158753.2649976
2021-12-31 06:00:00+00:00,47280.01,47550.0,47156.07,47437.6,484.55685,22927642.4445081,16685,276.85824,13101982.9780402
2021-12-31 06:30:00+00:00,47437.59,47488.6,47331.78,47385.55,263.7193,12502444.1696626,11836,127.88007,6062540.6763677
2021-12-31 07:00:00+00:00,47385.56,47453.15,47035.71,47043.46,376.93867,17800217.0315827,15032,169.62864,8008715.3293174
2021-12-31 07:30:00+00:00,47043.46,47199.43,46836.86,47191.09,1124.80336,52812573.2881905,27165,612.34463,28750646.4491652
2021-12-31 08:00:00+00:00,47191.08,47974.14,47065.3,47870.8,1517.23496,72189377.3941382,39808,821.19033,39085491.8964803
2021-12-31 08:30:00+00:00,47876.77,48548.26,47856.93,48433.9,2390.48902,115466618.5814359,57832,1272.7375,61461869.5642811
2021-12-31 09:00:00+00:00,48433.9,48548.26,48211.0,48397.51,1226.9169,59415606.8474393,32167,602.96016,29198893.0514252
2021-12-31 09:30:00+00:00,48397.51,48433.33,48203.0,48291.96,667.73447,32251867.1121677,19181,299.82894,14482035.7947355
2021-12-31 10:00:00+00:00,48291.96,48373.56,48130.08,48367.67,564.97998,27272867.0603909,17335,293.49819,14168941.4480828
2021-12-31 10:30:00+00:00,48367.66,48456.47,47909.56,48027.42,973.9133,47013691.3680473,25130,431.91452,20853520.4004995
2021-12-31 11:00:00+00:00,48027.42,48212.39,47996.0,48085.82,602.07338,28958887.9621461,23647,303.90991,14616818.9906285
2021-12-31 11:30:00+00:00,48085.81,48121.72,47900.0,47975.76,598.90961,28748937.6096291,23517,271.72086,13044448.93901
2021-12-31 12:00:00+00:00,47975.76,48028.0,47830.64,47970.69,607.69547,29135347.9055616,20874,269.48284,12919224.2411687
2021-12-31 12:30:00+00:00,47970.68,48108.6,47910.2,47978.84,564.94679,27121856.9346397,20153,307.65677,14770293.5672796
2021-12-31 13:00:00+00:00,47978.92,48059.58,47886.0,47991.83,484.57142,23244315.2255567,15797,201.53194,9667000.09505
2021-12-31 13:30:00+00:00,47991.82,48079.45,47902.57,47936.44,569.30473,27323170.0379047,17327,253.18482,12151421.1321261
2021-12-31 14:00:00+00:00,47936.44,48019.05,47832.13,48011.5,770.6371,36922969.6460348,27410,408.46645,19571850.1995305
2021-12-31 14:30:00+00:00,48011.5,48170.0,47931.79,47976.51,605.97981,29104875.9575768,19540,321.61775,15448285.8860396
2021-12-31 15:00:00+00:00,47976.51,48116.94,47910.0,47999.54,680.25316,32661828.0561716,19548,404.41535,19417249.5130304
2021-12-31 15:30:00+00:00,47999.54,48009.61,47861.77,48005.37,581.15973,27853005.4231911,18239,347.27228,16643224.7699227
2021-12-31 16:00:00+00:00,48005.37,48118.45,47910.56,48103.99,380.54517,18271554.285685,15292,187.41333,8998020.5217163
2021-12-31 16:30:00+00:00,48104.0,48107.22,47409.77,47471.66,1208.97316,57666675.0733179,32434,574.98512,27432280.485326
2021-12-31 17:00:00+00:00,47471.67,47550.0,46921.13,46948.62,1233.87792,58279193.8399161,34558,513.61662,24269348.1335618
2021-12-31 17:30:00+00:00,46948.62,47050.0,46889.0,47016.57,728.35916,34216771.9760791,21534,380.7743,17887808.6552272
2021-12-31 18:00:00+00:00,47016.56,47040.52,46898.75,46944.3,458.62937,21547444.6536729,17322,218.97204,10287815.1872996
2021-12-31 18:30:00+00:00,46944.3,46988.51,46500.0,46686.41,1229.09907,57413173.044055,33022,474.931,22186301.0951464
2021-12-31 19:00:00+00:00,46686.42,46688.68,46078.01,46085.73,1357.58698,62942300.1900168,37711,619.89237,28735595.3379169
2021-12-31 19:30:00+00:00,46085.43,46317.23,45678.96,45728.28,2493.72204,114674778.2444871,49761,1071.75305,49301891.7606684
2021-12-31 20:00:00+00:00,45728.28,46211.07,45678.0,46044.08,1329.15236,61137165.9099547,32543,733.75153,33750461.2737778
2021-12-31 20:30:00+00:00,46044.08,46123.12,45816.46,45879.24,502.25966,23084249.2573555,18757,263.97216,12132236.5667877
2021-12-31 21:00:00+00:00,45886.66,46101.0,45766.85,46099.0,890.02367,40878052.6299721,27016,509.08522,23380648.1866315
2021-12-31 21:30:00+00:00,46099.01,46513.67,46099.0,46333.86,844.67218,39092601.762967,27563,463.35543,21443655.2755908
