Open time,Open,High,Low,Close,Volume,Quote volume,Trade count,Taker base volume,Taker quote volume
2023-05-01 00:00:00+00:00,29233.2,29297.89,29215.93,29297.15,469.94863,13748214.5417038,8457,221.89925,6491658.6772835
2023-05-01 00:05:00+00:00,29297.15,29320.0,29281.14,29311.59,209.56375,6139962.1303974,4320,129.47816,3793514.8134903
2023-05-01 00:10:00+00:00,29311.58,29318.99,29269.73,29290.03,105.02753,3076771.0214724,3820,44.61007,1306796.9871467
2023-05-01 00:15:00+00:00,29290.03,29318.98,29277.16,29277.16,112.50741,3297090.9508865,4209,44.65706,1308639.9468875
2023-05-01 00:20:00+00:00,29277.17,29298.17,29270.84,29296.35,89.82546,2630286.7871018,3829,50.22187,1470534.3499611
2023-05-01 00:25:00+00:00,29296.36,29314.94,29265.24,29301.74,187.72312,5498968.5630418,3883,75.22997,2203600.3570422
2023-05-01 00:30:00+00:00,29301.75,29306.38,29285.73,29298.52,106.1629,3110157.3064115,2681,46.4226,1360018.8215087
2023-05-01 00:35:00+00:00,29298.53,29309.73,29291.17,29306.31,119.37895,3497579.4286766,2112,78.73479,2306792.25122
2023-05-01 00:40:00+00:00,29306.3,29306.31,29280.28,29303.77,163.42687,4787372.7300689,2477,63.32674,1854923.4985048
2023-05-01 00:45:00+00:00,29303.76,29337.34,29281.64,29316.83,177.35853,5197329.459878,3333,66.70172,1954638.9321517
2023-05-01 00:50:00+00:00,29316.83,29324.48,29285.62,29285.63,77.2409,2263692.6040984,2438,35.98136,1054514.8169817
2023-05-01 00:55:00+00:00,29285.62,29315.57,29285.62,29315.57,66.67638,1953462.6742709,1765,41.38593,1212546.0148488
2023-05-01 01:00:00+00:00,29315.57,29315.57,29300.53,29311.7,57.85298,1695593.7221067,1909,23.04437,675387.5387563
2023-05-01 01:05:00+00:00,29311.7,29311.7,29282.41,29285.13,76.66637,2245879.0918645,2013,23.34079,683728.2972742
2023-05-01 01:10:00+00:00,29285.13,29285.15,29243.79,29257.46,72.286,2115131.1775836,2533,32.20265,942189.9242845
2023-05-01 01:15:00+00:00,29257.46,29273.77,29218.0,29218.01,202.16019,5912410.75919,3734,45.32557,1325698.6375384
2023-05-01 01:20:00+00:00,29218.0,29241.82,29191.41,29200.42,140.08472,4092848.3986476,3796,49.26716,1439514.8872391
2023-05-01 01:25:00+00:00,29200.43,29253.96,29189.15,29253.96,100.17702,2926873.7021533,3759,62.10535,1814559.5232265
2023-05-01 01:30:00+00:00,29253.96,29260.04,29233.43,29233.44,94.66066,2768743.1436205,2776,31.20208,912554.0347715
2023-05-01 01:35:00+00:00,29233.44,29234.24,28686.8,28780.04,2262.15761,65422053.5499989,37618,904.30961,26133358.2892907
2023-05-01 01:40:00+00:00,28780.04,28807.49,28631.36,28677.1,1366.1508,39248194.2063371,23820,706.18181,20288400.5152438
2023-05-01 01:45:00+00:00,28677.1,28696.85,28601.28,28679.99,870.38894,24941262.1335307,15178,419.88574,12032214.3692901
2023-05-01 01:50:00+00:00,28680.0,28684.79,28369.95,28485.34,2070.16903,59068861.4999866,30211,1022.9063,29196953.8172572
